date,close,high,low,open,volume
2015-01-01,17477.484375,17594.051250012988,17345.376302793036,17345.376302793036,10416
2015-01-02,17554.52734375,17732.499287192753,17442.362924604295,17442.362924604295,12616
2015-01-05,17730.794921875,17844.800008108185,17500.759848381836,17500.759848381836,14811
2015-01-06,17239.0546875,17653.48556187551,17150.38368326735,17553.4933616301,21643
2015-01-07,17210.30859375,17320.183168828626,16979.690953413614,17268.974577064364,13903
2015-01-08,17625.544921875,17653.48469174884,17262.727980558444,17262.727980558444,16732
2015-01-09,17474.072265625,17720.86094276338,17394.02377899152,17662.554691944788,11213
2015-01-12,18261.025390625,18315.60295867029,17460.329793582037,17725.356667217577,32456
2015-01-13,18330.470703125,18672.264802254664,18157.483829790657,18327.28069505365,37481
2015-01-14,18853.69921875,18867.22078500068,18238.79257019624,18239.241768348355,36893
2015-01-15,19167.10546875,19286.00786430777,18812.417919006668,19135.84057664002,45461
2015-01-16,19263.0078125,19480.823270092733,19001.483274005703,19180.75893822541,17239
2015-01-19,19319.96484375,19476.780603829025,19140.33122371721,19140.33122371721,8870
2015-01-20,19343.0546875,19427.86364056237,19270.6443039934,19364.93028425229,12152
2015-01-21,19440.08203125,19656.909611517804,19046.00017203736,19495.198289302392,36699
2015-01-22,19474.89453125,19629.957367574545,19342.83028717524,19533.828972227613,18159
2015-01-23,19615.806640625,19763.547189405097,19399.06856388544,19669.48581196257,19476
2015-01-27,20712.474609375,21089.397361254963,19446.76972814821,19586.830018534183,62349
2015-01-28,20926.1640625,21137.016952327514,20663.24805919553,20712.52474066139,25647
2015-01-29,21055.888671875,21550.72595264973,20865.114608268497,20995.517154970155,26404
2015-01-30,21403.658203125,21551.6233340564,21067.387852083142,21274.018948286943,24924
2015-02-02,22437.044921875,22585.145206973117,21383.540107211404,21403.66453607993,41833
2015-02-03,22037.970703125,23268.28031084487,21921.04409827556,22540.758437869416,47303
2015-02-04,21161.18359375,22280.22553840416,21022.470870913603,22228.118559322407,31880
2015-02-05,21228.60546875,21525.616629386608,20936.402131093186,21202.14840492176,25717
2015-02-06,20698.95703125,21363.85964599965,20447.54122903489,21291.987956694356,26572
2015-02-09,20086.96875,20887.70991855624,20016.311298471068,20601.032065835825,26755
2015-02-10,20676.455078125,20939.100877161083,19764.717972932387,20087.242234399782,47486
2015-02-11,21299.265625,21520.002614061326,20708.03146373285,20788.8871180381,48419
2015-02-12,22784.498046875,23237.109035342848,22032.27014738406,22032.27014738406,187847
2015-02-13,22411.79296875,23896.617141693263,22082.622037315337,23087.88166417722,160312
2015-02-16,23002.626953125,23246.002846910425,22208.53416097605,22393.42481012905,52493
2015-02-18,24362.4375,24391.45639861881,22145.46593834084,23358.30078689094,100841
2015-02-19,23539.642578125,24615.068472043884,23309.11445967443,24435.47871724824,111134
2015-02-20,23860.640625,24077.019006440885,22909.103905382188,23604.91178674369,51765
2015-02-23,23464.490234375,24077.017447275077,23314.32471773424,24077.017447275077,53236
2015-02-24,23820.162109375,23942.254482229717,23287.32376862576,23554.147392686627,66444
2015-02-25,23614.83984375,23894.644649114347,23475.992003835283,23894.644649114347,49608
2015-02-26,23387.861328125,23623.33064680398,23152.57098683344,23623.33064680398,101052
2015-02-27,23887.7265625,24286.254762213102,22981.872980511867,23672.73965194823,839405
2015-03-02,23270.66015625,23533.48664618618,23022.29924776358,23259.475826293576,70096
2015-03-03,23588.291015625,23786.297892301565,22955.46037098825,23268.46196315842,49786
2015-03-04,23461.705078125,23803.006128369077,23314.45759737433,23627.818878131973,25358
2015-03-05,23993.287109375,24166.856544469232,23487.6690519927,23627.81885202754,93844
2015-03-09,23639.36328125,24216.26873202917,23479.58387355156,23897.3380920785,50051
2015-03-10,23857.08984375,24044.675670415883,23607.20234681679,23677.23162807542,41472
2015-03-11,23752.158203125,24098.579423381045,23584.696802214403,23972.803956661937,54289
2015-03-12,24516.916015625,24610.66329976716,23681.72171212172,23681.72171212172,26685
2015-03-13,23910.365234375,24749.063693655604,23830.58695137944,24655.58486885673,43832
2015-03-16,23558.73046875,24083.25868190727,23448.138259542317,24076.11713476913,44890
2015-03-17,23899.583984375,23977.29525266364,23659.308631867865,23659.308631867865,31973
2015-03-18,24540.859375,24696.6398631638,23810.28257536731,23976.39637390277,51794
2015-03-19,24847.755859375,25108.334658443597,24670.86127353276,24683.43882197708,49526
2015-03-20,24586.900390625,25146.10632987601,24127.37079477893,24996.972580295467,294706
2015-03-23,24169.41796875,24840.60942190305,24095.075682860068,24773.27532827719,38060
2015-03-24,23661.236328125,24345.635157719385,23546.96104962637,24345.635157719385,31885
2015-03-25,23153.1953125,23737.737117307923,23043.86120312752,23654.770583951176,35335
2015-03-26,22962.107421875,23178.57527445743,22758.21711551528,23178.57527445743,37290
2015-03-27,22650.587890625,23052.84475893415,22165.22938006326,22962.106749555645,37390
2015-03-30,22907.9765625,23032.3587952848,22729.420345360068,22943.238607897445,15688
2015-03-31,22838.4453125,23266.66623887663,22693.48942752428,23266.66623887663,29465
2015-04-01,22972.6171875,23095.96767784905,22640.480840573902,22898.32052952453,16121
2015-04-06,22768.775390625,22963.00795636507,22612.63342181959,22954.023993940827,16783
2015-04-07,22721.91796875,22998.93802958841,22504.82022035898,22998.93802958841,22236
2015-04-08,23199.822265625,23349.361356294725,22715.85696571794,22909.101624959545,26541
2015-04-09,23082.04296875,23447.195380224257,22967.49746019631,23358.29978349713,19940
2015-04-10,23420.380859375,23501.99980611157,22985.60270479516,23084.291179938773,19246
2015-04-13,23754.134765625,23879.371549745163,23313.517040989427,23448.141363745253,22720
2015-04-15,23663.978515625,24074.275323764738,23493.05865295864,24074.275323764738,16172
2015-04-16,23573.51171875,23798.28973665112,23129.298683560617,23717.65868109701,16311
2015-04-17,22976.07421875,23624.17569208818,22870.646043969973,23403.215896845693,13387
2015-04-20,22169.005859375,23165.058880251763,21884.93365396533,23165.058880251763,23979
2015-04-21,21816.697265625,22405.10110971756,21741.09688026972,22405.10110971756,25005
2015-04-22,21222.095703125,22005.99207170807,20806.903269988212,21822.045435115244,36581
2015-04-23,21310.404296875,21606.42580636343,21083.51366413416,21395.30272675863,16777
2015-04-24,19727.34765625,21399.80202622128,19279.632165886032,21381.83409840749,48109
2015-04-27,18803.791015625,19854.554795399374,18357.73732983696,19787.175084555256,68844
2015-04-28,19515.41015625,19674.875471141677,18530.946963908744,18956.15855895385,35316
2015-04-29,19424.447265625,19742.25489562858,19180.75731611696,19495.195960643465,26659
2015-04-30,20217.326171875,20528.350189282264,19562.574414512965,19764.713530162357,51345
2015-05-04,20405.31640625,20725.99819487041,20056.69309494937,20465.463323760207,26605
2015-05-05,20233.6796875,20618.193270052616,20133.957706978177,20618.193270052616,32148
2015-05-06,19524.302734375,20298.360422752285,19405.3547460144,20124.071588459377,21560
2015-05-07,18808.95703125,19719.7956230201,17786.626072782972,19674.87581522279,25196
2015-05-08,19413.216796875,19674.874661956965,18866.318168999827,18866.318168999827,28261
2015-05-11,19867.1796875,19989.31595208575,19531.179500260445,19719.79708531605,29896
2015-05-12,19304.33203125,19903.965812871666,19167.684579203764,19903.965812871666,12424
2015-05-13,20286.1015625,20385.779679981413,19288.702740259443,19288.702740259443,35527
2015-05-14,20478.177734375,20609.20846691324,19989.315099774176,20392.694986506696,27743
2015-05-15,20545.109375,20792.48242694416,20453.78704693388,20555.305821313617,24846
2015-05-18,20648.55859375,20796.972939160783,20359.094294970346,20663.111909831878,16022
2015-05-19,20829.181640625,21075.47731988908,20492.418162183803,20654.12948481392,21741
2015-05-20,20893.28125,21045.694518056403,20797.872274311267,21020.674534528516,13008
2015-05-21,21001.35546875,21157.22718495337,20843.148273729686,20968.56401260347,20691
2015-05-22,20794.326171875,21022.47320808811,20654.08510711445,20931.01576379792,10461
2015-05-25,21078.703125,21361.51885394572,20308.4181355216,20308.4181355216,16485
2015-05-26,20785.06640625,21197.475814724858,20708.074566664836,21197.475814724858,13637
