date,open,high,low,close,volume
2015-01-01,37311.484526843255,37675.25921129469,37211.54634231205,37342.30859375,9595
2015-01-02,37508.11711636523,37753.91080651179,37341.96058182616,37549.65625,11099
2015-01-05,37654.6171084636,38727.260970322495,37360.647800768085,37829.91796875,38178
2015-01-06,37704.7481010995,37704.7481010995,36721.57344396523,36829.72265625,15734
2015-01-07,36868.0780002276,37090.22561538975,36388.28861746776,36752.11328125,10795
2015-01-08,37154.17588707109,37557.2775571875,37078.02976651661,37435.85546875,13462
2015-01-09,37753.91867611666,37841.912835531046,36869.061207145176,37072.82421875,11069
2015-01-12,37163.02179277063,37655.592334800254,36978.184942667685,37453.5,11590
2015-01-13,37508.11555817268,37753.90923810828,37362.951347013215,37527.87890625,9242
2015-01-14,37537.61879396215,37742.11917921998,37287.746421936055,37592.0390625,8681
2015-01-15,37813.263703470926,38145.23127234518,37371.61833279756,37676.6484375,11451
2015-01-16,37753.91038449507,39203.15989224266,37498.284949600056,38502.84375,24081
2015-01-19,38270.08151862694,39277.83575257922,38270.08151862694,38831.57421875,17565
2015-01-20,39032.04456303614,39307.33354232204,38737.19193893325,38848.38671875,15524
2015-01-21,38874.72952415876,39012.32406199446,38147.23013770154,38248.1015625,8900
2015-01-22,38342.84191654817,38821.20648204579,38303.51491645427,38487.91015625,10228
2015-01-23,38884.57875338169,38932.75433767792,37773.59078899936,38076.5546875,10573
2015-01-27,38348.73854003661,39572.79134050694,38148.61251286633,39272.53125,20521
2015-01-28,39375.17211429032,39628.83124199606,38836.88384910083,39061.09765625,9457
2015-01-29,39228.67758143491,39425.312556780445,38932.74194353988,39230.15234375,8400
2015-01-30,39326.98801476685,39612.10867787391,38983.860044338006,39363.265625,7726
2015-02-02,39327.00018026642,39798.92418242962,39228.73260667145,39541.578125,7555
2015-02-03,39717.31310128572,40457.6437388397,39576.27744182516,39939.90234375,16966
2015-02-04,40033.01960199965,40206.24602305369,39074.36884003014,39425.0546875,8193
2015-02-05,39517.28117671928,39633.42162949271,39025.16061412004,39103.015625,4235
2015-02-06,39222.00333642649,39344.04921882842,37893.27800382484,38225.359375,7886
2015-02-09,38237.66535379596,38237.66535379596,36526.170106406,36702.44921875,9430
2015-02-10,36905.09654917417,37695.44198679384,34960.23654327572,36071.39453125,17124
2015-02-11,36612.7861041877,37448.40683061733,36416.92211766298,37280.34765625,15305
2015-02-12,37686.595479838485,41008.35954283217,37401.16553235472,40112.99609375,59601
2015-02-13,40885.38811197965,41123.57453285348,39615.81665694297,39945.9296875,26119
2015-02-16,40107.81637847165,40816.46982123238,39926.71605421058,40348.609375,15540
2015-02-18,40549.73547955861,41042.84010528396,40029.41813442142,40792.79296875,10466
2015-02-19,41030.052769762005,41030.052769762005,39694.4377912659,40471.00390625,9764
2015-02-20,40697.3834876979,40697.3834876979,39998.22631460671,40300.48828125,7555
2015-02-23,40303.6849177805,40509.3912878461,39783.02142608337,39911.7109375,5923
2015-02-24,39999.54244311622,40531.03242636629,39850.82213400106,40230.54296875,6536
2015-02-25,40157.03536594902,40481.93487868597,40069.09188910306,40267.56640625,7821
2015-02-26,40304.66357628714,40351.90713798828,38927.90668010816,39206.0546875,18102
2015-02-27,39416.88489893995,40796.79082753348,39369.64132934473,40551.46875,13165
2015-03-02,40654.07214944445,41805.53409075052,40144.28532197051,41619.80859375,17509
2015-03-03,41633.40104754938,41698.21486578035,41092.66049238781,41313.71875,10024
2015-03-04,40821.28441308784,41484.76262865446,40511.34854434073,40672.6640625,9595
2015-03-05,40794.81714317078,41279.063669768926,40555.008383881264,40978.08203125,7062
